0.8437,0.5
0.8125,0.5
0.8171,0.385
0.6563,0.5
0.625,0.5
0.6187,0.4128
0.875,0.5
0.8497,0.3969
0.6875,0.5
0.6503,0.3969
0.9063,0.5
0.8813,0.4128
0.7188,0.5
0.6829,0.385
0.9375,0.5
0.912,0.4318
0.75,0.5
0.7162,0.3775
0.5625,0.5
0.5312,0.5
0.5289,0.4762
0.9688,0.5
0.9418,0.4532
0.7812,0.5
0.75,0.375
0.5937,0.5
0.5582,0.4532
0.7838,0.3775
0.588,0.4318
0.9298,0.3715
0.7064,0.2561
0.5222,0.4559
0.9711,0.4762
0.9778,0.4559
0.75,0.25
0.5702,0.3715
0.7936,0.2561
0.598,0.3333
0.8343,0.2734
0.8705,0.2999
0.6295,0.2999
0.902,0.3333
0.6657,0.2734
0.5582,0.2734
0.9172,0.2212
0.6187,0.1744
0.9418,0.2734
0.9547,0.4128
0.975,0.385
0.6737,0.139
0.5453,0.4128
0.525,0.385
0.75,0.125
0.5398,0.3284
0.8263,0.139
0.8813,0.1744
1,0
0.5,0.375
1,0.0625
0.5,0.25
1,0.125
0.5828,0.2212
1,0.1875
0.5,0.1875
0.9602,0.3284
1,0.25
0.5,0.125
1,0.375
0.5,0.0625
0.5121,0.4423
0.5,0.4375
0.9879,0.4423
0,0.3125
0,0.25
0.0582,0.2734
0.3263,0.139
0,0.375
0.0398,0.3284
0,0
0.4879,0.4423
0,0.4375
0.0121,0.4423
0,0.0625
0.25,0.125
0.5,0.3125
0.475,0.385
0,0.125
0.1737,0.139
0.4602,0.3284
0,0.1875
0.1187,0.1744
0.4418,0.2734
0.0828,0.2212
0.4172,0.2212
0.1657,0.2734
0.3705,0.2999
0.1295,0.2999
0.3813,0.1744
0.3343,0.2734
0.098,0.3333
0.2936,0.2561
0.025,0.385
0.0702,0.3715
0.4547,0.4128
0.0453,0.4128
0.25,0.25
0.2064,0.2561
0.4298,0.3715
0.0222,0.4559
0.0289,0.4762
0.2162,0.3775
0.4418,0.4532
0.402,0.3333
0.412,0.4318
0.1829,0.385
0.3813,0.4128
0.1503,0.3969
0.3497,0.3969
0.1187,0.4128
0.2838,0.3775
0.088,0.4318
0.4778,0.4559
0.4711,0.4762
0.125,0.5
0.3171,0.385
0.3125,0.5
0.0582,0.4532
0.0625,0.5
0.25,0.375
0.2812,0.5
0.4375,0.5
0.25,0.5
0.4062,0.5
0.2188,0.5
0.1875,0.5
0.375,0.5
0.3437,0.5
0.1563,0.5
0.1829,0.615
0.3813,0.5872
0.1187,0.5872
0.3171,0.615
0.0938,0.5
0.0582,0.5468
0.2838,0.6225
0.4687,0.5
0.4418,0.5468
0.0313,0.5
0.2162,0.6225
0.412,0.5682
0.0289,0.5238
0.0453,0.5872
0.25,0.625
0.2064,0.7439
0.4298,0.6285
0.1503,0.6031
0.1657,0.7266
0.3497,0.6031
0.402,0.6667
0.098,0.6667
0.3343,0.7266
0.088,0.5682
0.2936,0.7439
0.4711,0.5238
0.4778,0.5441
0.0702,0.6285
0.0582,0.7266
0.3263,0.861
0.025,0.615
0.25,0.75
0.4547,0.5872
0.475,0.615
0.0222,0.5441
0.1737,0.861
0.4418,0.7266
0.1295,0.7001
0.1187,0.8256
0.3705,0.7001
0.4172,0.7788
0.4602,0.6716
0.5,0.6875
0.0828,0.7788
0,0.875
0.5,0.75
0,0.75
0.3813,0.8256
0.5,0.875
0.0398,0.6716
0,0.625
0.25,0.875
0.5,0.9375
0.4879,0.5577
0.5,0.5625
0.0121,0.5577
0,0.9375
0.5,0.625
1,1
0.6737,0.861
0.525,0.615
1,0.5625
1,0.625
0.975,0.615
1,0.9375
0.8263,0.861
1,0.875
0.5398,0.6716
1,0.8125
0.8813,0.8256
0.5,0.8125
0.5582,0.7266
1,0.75
0.9418,0.7266
0.6187,0.8256
1,0.6875
0.9602,0.6716
0.9172,0.7788
0.902,0.6667
0.5828,0.7788
0.6657,0.7266
0.9298,0.6285
0.75,0.875
0.7064,0.7439
0.5121,0.5577
0.5453,0.5872
0.9879,0.5577
0.9547,0.5872
0.75,0.75
0.7936,0.7439
0.5702,0.6285
0.8343,0.7266
0.598,0.6667
0.7838,0.6225
0.6187,0.5872
0.8705,0.7001
0.8171,0.615
0.6295,0.7001
0.8813,0.5872
0.6829,0.615
0.9418,0.5468
0.7162,0.6225
0.5222,0.5441
0.5582,0.5468
0.9778,0.5441
0.75,0.625
0.5,0.5
1,0.5
1,0.4375
0,0.5
0,0.5625
0.9711,0.5238
0.5289,0.5238
0.912,0.5682
0.588,0.5682
0.8497,0.6031
0.6503,0.6031
1,0.3125
0,0.8125
0,0.6875
0,1
